municipio;homens;mulheres;branca;preta;amarela;parda;indigena;ignorado;urbana;rural;comorbidades
Vale Real;2570;2548;4653;61;19;376;9;;4566;552;638
Vanini;993;991;1762;54;;168;;;1001;983;222
Venâncio Aires;32643;33303;58682;3207;208;3799;50;;41400;24546;7496
Vera Cruz;11749;12234;20286;1576;226;1875;20;;13320;10663;2791
Veranópolis;11102;11708;20301;427;50;2025;7;;19843;2967;2760
Vespasiano Correa;1024;950;1887;18;;69;;;406;1568;159
Viadutos;2620;2691;4783;21;6;501;;;2643;2668;452
Viamão;116483;122901;179284;28059;761;30215;1065;;224943;14441;25796
Vicente Dutra;2701;2584;4271;36;23;866;89;;2351;2934;442
Victor Graeff;1512;1524;2777;8;7;241;3;;1284;1752;272
Vila Flores;1617;1590;2850;42;5;309;1;;1348;1859;346
Vila Lângaro;1123;1029;1892;72;4;183;1;;366;1786;209
Vila Maria;2116;2105;3967;81;7;166;;;2249;1972;444
Vila Nova do Sul;2102;2119;3432;337;6;446;;;2194;2027;416
Vista Alegre;1400;1432;2408;83;21;313;7;;1185;1647;262
Vista Alegre do Prata;819;750;1449;12;4;104;;;463;1106;153
Vista Gaúcha;1395;1364;2507;59;14;177;2;;965;1794;297
Vitória das Missões;1794;1691;2768;162;37;517;1;;669;2816;284
Westfália;1406;1387;2696;34;1;62;;;1130;1663;316
Xangri-lá;6199;6235;11006;605;41;760;22;;12379;55;1666
